Faculty Name,Publication,Date
Dr Prashant Upadhyay,"P. Kumar, P. Upadhyay, “A Modified Deep Learning Based Convolutional Neural Network Model for Facial Emotion Prediction”, Computer and Research Development, Vol.24, No.7, pp.382-390, 2024 (Scopus)",2024 September
Dr Prashant Upadhyay,"Thakur, D., Patidar, H., Maheshwari, V., Kar, R., Upadhyay, P. (2023). An Efficient 8T GDI Enable Full Adder Design for Data Path Subsystem. In: Chakraborty, B., Biswas, A., Chakrabarti, A. (eds) Advances in Data Science and Computing Technologies. ADSC 2022. Lecture Notes in Electrical Engineering, vol 1056. Springer, Singapore. https://doi.org/10.1007/978-981-99-3656-4_66 (Scopus)",2023 September
Dr Prashant Upadhyay,"LAYA, P., HARSHITHA, E., MADHU, Y., UPADHYAY, P., & RAJASEKARAN, S. (2023). IOT BASED WHEELED ROBOTIC ARM. INTERNATIONAL JOURNAL OF SCIENTIFIC & TECHNICAL DEVELOPMENT.",2023 June
Dr Prashant Upadhyay,"R. Bera, S. Cheruvu, K. Kundu, P. Upadhyay, D. Mandal, “Array Antenna Pattern Synthesis using Improved Particle Swarm Optimization (IPSO) Algorithm”, ECTI Transactions on Electrical Engineering, Electronics, and Communications, Vol. 21, No. 2, pp.249806, 2023. (Scopus)",2023 June
Dr Prashant Upadhyay,"V. Aggarwal, S. Kesharwani, A. Khosla, P. Upadhyay, & A. Kumar, “A Study on Tunable SIW-Based Self-Diplexing Antenna”, Singapore: Springer Nature Singapore, Jan, Vol. 554, pp. 215-225, 2023. (Scopus)",2023 February
Dr Prashant Upadhyay,"S. Nanda, P. Upadhyay, “A compact UWB Monopole Antenna for GPS, LTE and Satellite application with Hybrid Polarization”, 2023 IEEE3rd International conference on Artificial Intelligence and Signal Processing (AISP), pp.1-4, 2023",2023 February
Dr Prashant Upadhyay,"A. Nayyer and P. Upadhyay, “Role of Artificial Intelligence in Healthcare System: An Overview”, Mobile Health: Advances in Research and Applications-Volume-II, Chapter-6, Nova Science Publisher, October 06, 2022. (Scopus)",2022 October
Dr Prashant Upadhyay,"I. Rosaline, A. Kumar, P. Upadhyay, A. H. Murshed, “Four Element MIMO Antenna System with Decoupling lines for High Speed 5G Wireless Data Communication”, International Journal of Antennas and Propagation, 2022. (SCI-IF- 1.5)",2022 July
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, Navyavani Yalla, “A Design of Highly Stable and Low Power SRAM Cell”, Advances in Intelligent Systems and Computing, vol. 759, pp. 281-289, 2019, Springer, Singapore. (Scopus)",2019 June
Dr Prashant Upadhyay,"P. Upadhyay, N. Kar, R. Kar, D. Mandal, S. P. Ghoshal, “A Low Power 9T SRAM Cell Design for both Active and Passive Mode”, Proc. 15th IEEE International Conference ECTI-CON, Thailand, pp. 672-675, July 18-21, 2018",2018 July
Dr Prashant Upadhyay,"P. Upadhyay, J.S. Sharma, R. Kar, D. Mandal, S. P. Ghoshal, “A Novel 8T SRAM Cell with Low Swing Voltage for Portable Device”, Proc. 15th IEEE International Conference ECTI-CON, Thailand, pp. 676-679, July 18-21, 2018",2018 July
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, ""A 12T MT-CMOS Low Power and Low Leakage SRAM cell "", International Journal of Computer Aided Engineering and Technology, Vol. 9, No. 3, pp. 307-323, 2017. Inderscience (Scopus)",2017 September
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, ""A Novel Low Power 8T SRAM Cell Design Using Lower and Upper Self Controllable Voltage Level Techniques in 45 nm Technology"", International Journal of Computer Aided Engineering and Technology, Vol. 8, No. 4, pp. 388-412, 2016. Inderscience (Scopus)",2016 October
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “A new design method based on Firefly Algorithm for IIR System Identification Problem”, Journal of King Saud University – Engineering Sciences, Vol. 28, No. 2, pp. 174-198, 2016. Elsevier (Scopus)",2016 June
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “A Design of Low Swing and Multi threshold Voltage Based Low Power 12T SRAM Cell”, Computers and Electrical Engineering, Vol. 45, pp. 108-121, 2015. Elsevier (SCI-IF- 4.152)",2015 July
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “Craziness based Particle Swarm Optimization Algorithm for IIR System Identification Problem”, AEÜ International Journal of Electronics and Communications, Vol. 68, No. 5, pp. 369-378, May-2014, Elsevier. (SCI-IF- 3.2)",2015 May
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “Characteristic Analysis of a Novel Low Power 10T SRAM cell during Read and Write Operations"", International Journal of Computer Aided Engineering and Technology, Vol. 7, No. 4, pp. 496-515, 2015. Inderscience (Scopus)",2015 May
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, ""An Efficient Differential Evolution with Wavelet Mutation Algorithm for Optimal IIR Filter Design"", International Journal of Bio-Inspired Computation, Vol. 6, No. 5, pp. 350-367, 2014, Inderscience (SCI-IF- 3.5)",2014 October
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “Opposition based Differential Evolution for IIR System Identification Problem”, International Journal of Modeling, Simulation, and Scientific Computing, Vol. 5, No. 4, pp. 1-57, 2014, World Scientific. (ESCI-IF-1.2)",2014 October
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “Collective Animal Behaviour based Optimization Algorithm for IIR System Identification Problem”, International Journal of Swarm Intelligence Research, Vol. 5, No. 1, pp. 1-35, 2014, IGI Global (ESCI-IF-1.1)",2014 September
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “IIR system identification using SEOA”, International Journal of Modelling, Identification and Control, Vol. 22, No. 1, pp. 80-112, 2014, Inderscience. (ESCI-IF-0.7)",2014 July
Dr Prashant Upadhyay,"P. Chauhan, P. Upadhyay, “A Nyquist Filter based Technique to Reduce PAPR in OFDM-MIMO Communication System”, IOSR Journal of Electronics and Communication Engineering (IOSR-JECE), Vol. 9, No. 5, Ver. III, pp. 12-19, 2014",2014 July
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, V. Mukherjee, S. P. Ghoshal, “A Novel Design Method for Optimal IIR System Identification using Opposition based Harmony Search Algorithm”, Journal of the Franklin Institute, Vol. 351, No. 5, pp. 2454-2488, May-2014, Elsevier. (SCI-IF- 4.1)",2014 May
Dr Prashant Upadhyay,"P. Upadhyay, P. Kundu, R. Kar, D. Mandal, S. P. Ghoshal, “A Novel 10T SRAM Cell with Low Power Dissipation in Active and Sleep Mode for Write Operation”, Proc. 11th IEEE International Joint Conference on Computer Science and Software Engineering (JCSSE 2014), pp. 206-211, Cholburi, Thailand, May 14-16, 2014.",2014 May
Dr Prashant Upadhyay,"P. Upadhyay, S. Ghosh, R. Kar, D. Mandal, S. P. Ghoshal, “Low Static and Dynamic Power MTCMOS Based 12T SRAM Cell for High Speed Memory Systems”, Proc. 11th IEEE International Joint Conference on Computer Science and Software Engineering (JCSSE 2014), pp. 212-217, Cholburi, Thailand, May 14-16, 2014",2014 May
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “Read Stability and Power Analysis of a Proposed Novel 8T SRAM Cell in 45nm Technology”, Scientia Iranica Journal, Vol. 21, No. 3, pp. 953-962, 2014, Elsevier (SCI-IF- 1.416)",2014 April
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “Low Power with High Stability 12T MTCMOS Based SRAM Cell for Write Operation”, Proc. 4th IEEE International Conference on Communication and Signal Processing (ICCSP-2014), pp. 21-25, Tamilnadu, India, April 3-5, 2014.",2014 April
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “A Novel 10T SRAM Cell for Low Power Circuits”, Proc. 4th IEEE International Conference on Communication and Signal Processing (ICCSP-2014), pp. 16-20, Tamilnadu, India, April 3-5, 2014.",2014 April
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “IIR system identification using differential evolution with wavelet mutation”, Engineering Science and Technology: An International Journal, Vol. 17, No. 1, pp. 8-24, March-2014, Elsevier. (SCI-IF- 5.7)",2014 March
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, “Stability Analysis of a Novel Proposed Low Power 10T SRAM cell for Write Operation” Proc. IEEE 4th International Conference on Advanced Computing & Communication Technologies, (ACCT-14), pp.100-105, Feb 8-9, 2014, Rohtak, India.",2014 February
Dr Prashant Upadhyay,"P. Upadhyay, Nidhi Agarwal, R. Kar, D. Mandal, S. P. Ghoshal, “Power and Stability Analysis of a Proposed 12T MTCMOS SRAM Cell for Low Power Devices” Proc. IEEE 4th International Conference on Advanced Computing & Communication Technologies, (ACCT-14), pp.112-117, Feb 8-9, 2014, Rohtak, India",2014 February
Dr Prashant Upadhyay,"A. Kanwar, P. Upadhyay, “An Appearance based Approach for Gait Identification using Infrared Imaging”, Proc. 6th IEEE International Conference on Issues and Challenges in Intelligent Computing Techniques (ICICT-2014), pp.724-729, Feb 7-8, 2014, KIET, Ghziabad, India",2014 February
Dr Prashant Upadhyay,"A. Kanwar, P. Upadhyay, “Infrared Imaging for Human Identification at A Distance Using Gait Biometrics”, Proc. International Conference on Advanced Information Communication Technology in Engineering (ICAICTE-2K13), pp. 290-295, Nov 22-23, 2013, TITS, Bhiwani",2013 November
Dr Prashant Upadhyay,"A. Kanwar, P. Upadhyay, “A Novel Silhouette Based Approach for Identification of Human using Gait Biometrics”, Proc. International Conference on Electronics & Information Technology, pp. 33-43, Oct. 4-5, 2013, Thapar University, Patiyala",2013 October
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, ""DC Noise Margin and Failure Analysis of Proposed Low Swing Voltage SRAM cell for High Speed CMOS Circuit"", Proc. 3rd IEEE International Conference on Communication and Signal Processing (ICCSP- 2013), Tamilnadu, India, pp. 966-970, April 3-5, 2013",2013 April
Dr Prashant Upadhyay,"P. Upadhyay, S. K. Chhotray, R. Kar, D. Mandal, S. P. Ghoshal, "" Analysis of Static Noise Margin and Power Dissipation of a Proposed Low Voltage Swing 8T SRAM cell"", Proc. 3rd IEEE international Conference on Information and Communication Technologies (ICT -2013), Kanyakumari, India, pp. 316-320, April 11-12, 2013",2013 April
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, ""Dynamic Noise Margin Analysis of a Low Voltage Swing 8T SRAM Cell for Write Operation"", International Journal of Signal Processing Systems, Vol.1, No.2, pp.136-140, 2013, ET Publishers, USA",2013 February
Dr Prashant Upadhyay,"P. Upadhyay, S. K. Chhotray, R. Kar, D. Mandal, S. P. Ghoshal, ""Write Stability Analysis of 8-T Novel SRAM cell for High Speed Application"", Proc. 3rd IEEE International Advance Computing Conference (IACC 2013), Ghaziabad, India, pp.1564-1567, Feb 22-23, 2013",2013 February
Dr Prashant Upadhyay,"P. Upadhyay, R. Kar, D. Mandal, S. P. Ghoshal, ""A Low Power CMOS Voltage Mode SRAM Cell for High Speed VLSI Design"", Proc. IEEE Asia Pacific Conference on Postgraduate Research in Microelectronics and Electronics (PrimeAsia), BITS, Hyderabad, India, pp. 25-28, December 5-7, 2012",2012 December
Dr Prashant Upadhyay,"P. Upadhyay, R. Mehra, “A Proposed Low Power 8-T SRAM cell for Programmable Devices”, 1st International Conference on Current Trends in Technology (NUiCONE-2010), pp.1-5, 9-11, Dec., 2010 at Nirma University, Ahmadabad",2010 December
Dr Prashant Upadhyay,"P. Upadhyay, R. Mehra, “Low Power Design of an SRAM cell for Portable Devices”, Proc. 1st IEEE International conference on Computer and Communication Technology (ICCCT), pp.255-259, 17-19 Sept., 2010 at NIT Allahabad",2010 September
Dr Prashant Upadhyay,"N. Thakur, S. Devi, P. Upadhyay, “Grayscale Image Quality Measure in Spatial Domain”, Proc. 1st IEEE International Conference on Computer Communication Technology (ICCCT), pp. 224-229, 17-19 Sept., 2010 at NIT Allahabad.",2010 September
Dr Prashant Upadhyay,"P. Upadhyay, R. Mehra, “Low Power Design of 64-bits Memory by using 8-T Proposed SRAM Cell”, International journal of Research and Reviews in Computer Science (IJRRCS), Vol.1, No.4, pp. 168-172, 2010",2010 August
Dr SATISH KUMAR SATTI,"Rajareddy, G. N., Mishra, K., Satti, S. K., Chhabra, G. S., Sahoo, K. S., & Gandomi, A. H. (2025). A digital twin-enabled fog-edge-assisted IoAT framework for Oryza Sativa disease identification and classification. Ecological Informatics, 87, 103063.[SCIE, IF=7.3]",2025 July
Dr SATISH KUMAR SATTI,"Satti, S.K., Rajareddy, G.N.V., Mishra, K. et al. Potholes and traffic signs detection by classifier with vision transformers. Scientific Reports 14, 2215 (2024). https://doi.org/10.1038/s41598-024-52426-4 [SCIE-IF 4.6, Q1]",2024 February
Dr SATISH KUMAR SATTI,"Dhar, P., Kothandapani, S. D., Satti, S. K., & Padmanabhan, S. (2023). HPKNN: Hyper‐parameter optimized KNN classifier for classification of poikilocytosis. International Journal of Imaging Systems and Technology, 33(3), 928-950. https://doi.org/10.1002/ima.22841 [SCIE-IF 3.3, Q2]",2023 August
Dr SATISH KUMAR SATTI,"Sekar, K., Satti, S. K., & Srinivasan, P. (2023). EEEDCS: Enhanced energy-efficient distributed compressive sensing-based data collection for WSNs. Sustainable Computing: Informatics and Systems, 38, 100871. https://doi.org/10.1016/j.suscom.2023.100871 [SCIE-IF 4.5, Q1]",2023 June
Dr SATISH KUMAR SATTI,"Jayachitra, J., K, S. D., Manisekaran, S. V., & Satti, S. K. (2023). An optimal deep learning model for recognition of hidden hazardous weapons in terahertz and millimeter wave images. Earth Science Informatics, 2709–2726.https://doi.org/10.1007/s12145-023-01056-x [SCIE-IF 2.8, Q2]",2023 April
Dr SATISH KUMAR SATTI,"Dhar, P., Suganya Devi, K., Satti, S.K. et al. Efficient detection and partitioning of overlapped red blood cells using image processing approach. Innovations Syst Softw Eng (2022). https://doi.org/10.1007/s11334-022-00478-y [ESCI, Scopus-IF 1.2, Q4]",2023 March
Dr SATISH KUMAR SATTI,"Dhar, P., Suganya Devi, K., Satti, S.K. et al. (2023). An hybrid soft attention based XGBoost model for classification of poikilocytosis blood cells. Evolving Systems https://doi.org/10.1007/s12530-023-09549-2 [SCIE-IF 3.2, Q2]",2023 February
Dr SATISH KUMAR SATTI,"Jayachitra, J., Devi, K.S., Satti, S.K. et al. (2023). Terahertz video-based hidden object detection using YOLOv5m and mutation-enabled salp swarm algorithm for enhanced accuracy and faster recognition. J Supercomput (2023). https://doi.org/10.1007/s11227-023-05717-y [SCIE-IF 3.3, Q2]",2023 January
Dr SATISH KUMAR SATTI,"Satish Kumar Satti, Suganya Devi, K., Srinivasan, P., R-ICTS: Recognize the Indian cautionary traffic signs in real-time using an optimized adaptive boosting cascade classifier and a convolutional neural network. Concurrency Computat Pract Exper. 2022; Wiley, 34(10): e6796. https://doi.org/10.1002/cpe.6796 [SCIE-IF 2.0, Q3]",2022 June
Dr SATISH KUMAR SATTI,"Satish Kumar Satti., Devi, K.S., Dhar, P. et al. Detecting potholes on Indian roads using Haar feature-based cascade classifier, convolutional neural network, and instance segmentation. Soft Comput (2022). https://doi.org/10.1007/s00500-022-07265-8 [SCIE-IF 4.1, Q2]",2022 April
Dr SATISH KUMAR SATTI,"Satish Kumar Satti, Suganya Devi,K., Srinivasan, P., Recognizing the Indian Cautionary Traffic Signs using GAN, Improved Mask R-CNN, and Grab Cut. Concurrency Computat Pract Exper. 2022; Wiley https://doi.org/10.1002/cpe.7453 [SCIE-IF 2.0, Q2]",2022 January
Dr SATISH KUMAR SATTI,"Satish Kumar Satti, Suganya Devi,K., Prasad Maddula, N V Vishnumurthy Ravipati, (2021),” Unified Approach for Detecting Traffic signs and Potholes on Indian Roads”, Journal of King Saud University-Computer and Informatics. Elsevier, https://doi.org/10.1016/j.jksuci.2021.12.006 [SCIE-IF 6.9, Q1]",2021 November
Dr SATISH KUMAR SATTI,"Satish Kumar Satti, Suganya Devi,K., Prasenjit Dhar, P. Srinivasan, (2020), “A machine learning approach for detecting and tracking road boundary lanes”, Elsevier, ICT Express, ISSN 405-9595, https://doi.org/10.1016/j.icte.2020.07.007 [SCIE-IF 5.4, Q1]",2020 November
Dr SATISH KUMAR SATTI,"Prasenjit Dhar, Suganya Devi, K., Satish Kumar Satti, P. Srinivasan, (2020),” A study on various segmentation and machine learning algorithms used for early detection of cancer”, Journal of Advanced Research in Dynamical and Control Systems, Volume 12, Issue 6, Pages:1416-1432. https://www.jardcs.org/abstract.php?id=5108",2020 November
Dr SATISH KUMAR SATTI,"Satish Kumar Satti, Suganya Devi K, Prasenjit Dhar, Srinivasan P, (2019), ‘An Efficient Noise separation technique for Removal of Gaussian and Mixed Noises in Monochrome and color Images’, International Journal of Innovative Technology and Exploring Engineering, Vol.8(9), pp.588-601. DOI : 10.35940/ijitee.I1122.0789S219 [Scopus]",2019 November
Dr SATISH KUMAR SATTI,"Satish Kumar Satti, Suganya Devi K, Vishnu Murthy, Srinivasan P, (2019), ‘Efficient Technique for removal of white and mixed noises in gray-scale images’, International journal of Innovative engineering and Management Research,Vol.8(9),pp.22-36.: https://ssrn.com/abstract=3447018 [Elsevier SSRN]",2019 August
Dr Vijitha Ananthi J.,"Ananthi, J. Vijitha, P. Subha Hency Jose, and M. Nesasudha. ""An efficient optimization approach with mobility management for enhanced QoS and secure communication in flying adhoc networks."" Computers and Electrical Engineering 120 (2024): 109665",2024 December
Dr Vinoj Jothipandian,12-SCI/SCIE/ESCI/SCOPUS & 8 UGC Care Listed Journal,2024 August
Mr .Kiran Kumar Kaveti,"Published a Scopus Article in JATIT on ""DISCOVERY OF LIVER MALIGNANCE USING CONVOLUTION NEURAL NETWORK VARIANT""",2024 May
Mr .Kiran Kumar Kaveti,"Published a IEEE Conference Article on ""Advancements of Skin Cancer Classification using Transfer Learning Segmentation""",2024 February
Mr .Kiran Kumar Kaveti,Published Wiley Book Chapter onAutonomous Vehicle Optimization: Striking a Balance Between Cost‐Effectiveness and Sustainability,2023 December
Mr .Kiran Kumar Kaveti,"Published a IEEE Conference Article on ""Data-Driven Early Warning System for Subject Performance: A SMOTE and Ensemble Approach (SMOTE-RFET)""",2023 October
Mr .Kiran Kumar Kaveti,"Published a Scopus Indexed IEEE Conference Article on ""An advanced approach for Smart Parking Solution Based on Ethereum Block chain System""",2021 July
Mr .Kiran Kumar Kaveti,"Published a Scopus Indexed IEEE Conference Article on "" Advanced and Effective Classification of Parkinson's Disease Using Enhanced Neural Networks""",2020 August
Ms Bhimavarapu. Jyothika,Design and Development of Hybrid Deep Learning Technique for Deep Fake Identification: In Limited Dataset Perspective,2026 February
Ms Bhimavarapu. Jyothika,Performance Analysis of Pretrained CNN Models vs Dataset Biases in Deep Fake Identification Perspective,2025 July
Dr G Veerabhadra Chary,"Chary,G.V.B.,andK.Roslina.”ComparisonofTransmissionLineModelsbyExcludingFrequencyDependencein ComplexPowerSystemforErrorEstimation.”JournalofOperationandAutomationinPowerEngineering12.1 (2024): 77-90.Scopus",2024 January
Dr G Veerabhadra Chary,"CHARY,G.VEERABHADRA,RAGHAVAIAHKATURI,andK.MERCYROSALINA.”ReliabilityAssessmentofPower System basedonLoadFlowAnalysisoftheIEEE57BususedinMicroGridApplications.Scopus",2024 January
Dr G Veerabhadra Chary,"Chary,G.VeeraBhadra,RaghavaiahKaturi,andK.MercyRosalina.”DesignandAnalysisofaLowVoltageSimulink Model (LVSM)ofIEEE57Bus.”WSEASTransactionsonPowerSystems19(2024):32-43.Scopus",2024 January
Dr G Veerabhadra Chary,"Chary,G.VeeraBhadra,andK.MercyRosalina.”LeastSquaresRegressionBasedAntLionOptimizertoSolve Optimal ReactivePowerandEconomicLoadDispatchProblems.”JournalofElectricalEngineeringandTechnology 18.5 (2023):3391-3413.SCI",2023 April
Dr G Veerabhadra Chary,"Chary,G.VeeraBhadra,andK.MercyRosalina.”Analysisoftransmissionlinemodelingroutinesbyusingoffsets measuredleastsquaresregressionantlionoptimizerinORPDandELDproblems.”Heliyon9.3(2023).SCI",2023 April
Mr Kiran Kumar Raja Pagidipalli,Radiomorphometric Analysis of Frontal Sinus for Gender Determination in Rayalaseema,2024 January
Mr Mihir Barman,Numerical simulation of pure metal melting and solidification with coupled multiphysics analysis,2023 August
Mr Mihir Barman,Thermal gasification of biomass in fluidized bed,2023 August
Mr Mihir Barman,Characterization of Cu based Functionally Graded materials reinforced with SiC,2023 July
Mr Mihir Barman,Static structural analysis of lower extremity Exoskeleton for industry working Personnel using an analysis software,2023 July
Mr Mihir Barman,Improved design of solar desalination system,2023 July
Mr Mihir Barman,Simulation of liquid & solid metal regions in a continuous casting process using COMSOL Multiphysics,2023 May
Mr Mihir Barman,Critical Speed Analysis of Rotor Shafts Using Campbell Diagrams,2020 July
Mr Mihir Barman,MODELING OF OVERWHELMING CONTROLLER FOR SINGLE DEGREE FREEDOM SYSTEM,2019 February
Mr Mihir Barman,MODELLING AND SIMULATION OF PLANAR SIMULATOR,2019 February
Mr MIHIR BHATT,"Post-Quantum AI-Driven Zero-Trust Architecture for Secure 6G IoT Networks ""IEEE Networking Letters"" 2026",2026 August
Mr MIHIR BHATT,"BFRN-IoV: Blockchain and Fog-Enabled Route Navigation for Internet of Vehicles,"" IEEE Open Journal Vehicular Technology, 2026",2026 April
Mr MIHIR BHATT,"A Blockchain-Assisted Hybrid AI and LLM Framework for Misbehavior Detection in Connected Autonomous Vehicles,"" Proc. IEEE IATMSI, 2026",2026 March
Dr VIJAI MEYYAPPAN MOORTHY,"Vijai M. Moorthy, and Viranjay M. Srivastava, ""Geometrical Optimization and Simulation of NPDA Device for future use in Retinal Implant,"" The journal of technology, management, and applied engineering,The Journal of Technology, Management, and Applied Engineering, Vol. 39, no. 3, pp. 11, Aug 2023",2023 August
Dr VIJAI MEYYAPPAN MOORTHY,"Vijai M. Moorthy, and Viranjay M. Srivastava, ""Device Modelling and Optimization of Planar Hetero-Junction Based Organic Solar Cell (by Varying the Device Dimensions and Material Parameters),"" Nanomaterials 2022, 12, 3031. https://doi. org/10.3390/nano12173031. (SCI Journal)",2023 August
Dr VIJAI MEYYAPPAN MOORTHY,"V. M. Moorthy, R. Venkatesan, and V. M. Srivastava, ""Optimization of Double-Gate Carbon Nanotube FET Characteristics for Short Channel Devices,"" Recent Patents on Nanotechnology, vol. 17, Jun. 2023, doi: 10.2174/1872210517666230622123317",2023 June
Dr VIJAI MEYYAPPAN MOORTHY,"Vijai M Moorthy, Viranjay M Srivastava, ""Modeling, Optimization, and Simulation of Nanomaterials-Based Organic Thin Film Transistor for Future Use in pH Sensing"",Recent Patents on Nanotechnology, Vol.18, no.1, pp 45 - 53, 2023.",2023 April
Dr VIJAI MEYYAPPAN MOORTHY,"Vijai M. Moorthy, Joseph Daniel, R., and Viranjay M Srivastava, Design Optimization and Characterization with Fabrication of Nanomaterials-Based Photo Diode Cell for Subretinal Implant Application, Nanomaterials,Vol. 13, Iss. 5, pp. 934, 2023",2023 March
Dr VIJAI MEYYAPPAN MOORTHY,"Vijai M. Moorthy, Parthasarathy, Va, Joseph Daniel, R., and Viranjay M. Srivastava, ""G-Optrode Bio-Interfaces for Non-Invasive Optical Cell Stimulation: Design and Evaluation, Biosensors. 2022; 12(10):808. https://doi.org/10.3390/bios12100808. (",2022 September
Dr VIJAI MEYYAPPAN MOORTHY,"Vijai M. Moorthy, and Viranjay M. Srivastava,",2022 August
Dr VIJAI MEYYAPPAN MOORTHY,"Vijai M. Moorthy, Joseph Daniel, R., and Shanmugaraja, ""Modelling, Simulation and Analysis of Nano Photo Diode Arrays using CNT's and Graphene Nano Materials for Sub-retinal implant, IOP: Materials Science and Engineering.",2022 February
Dr VIJAI MEYYAPPAN MOORTHY,"Vijai M. Moorthy, Parthasarathy, Va., and Joseph Daniel, R., (2020), Bio-interface behaviour of Graphene and semiconducting SWCNT:C60 blend based nano photodiode for subretinal implant, IET Biosurface and Biotribology, Vol. 6, pp. 53-58.",2020 June
Dr VIJAI MEYYAPPAN MOORTHY,"Vijai M. Moorthy, Sugantharathnam, M., Joseph Daniel, R., and Shanmugaraja, P., (2019), Design and characterisation of graphene-based nano-photodiode array device for photo-stimulation of subretinal implant, IET Micro and Nano Letters, Vol. 11, pp. 1131-1135. (SCI Journal)",2019 September
